,ds,y,type,yhat,student_type,product,funnel_step
258,2022-09-01,,Forecast,297817.0,International,Unknown,web_traffic
259,2017-09-01,9660.0,Historical,,International,Unknown,enquiries
260,2018-09-01,8589.0,Historical,,International,Unknown,enquiries
261,2019-09-01,10561.0,Historical,,International,Unknown,enquiries
262,2019-09-01,,Forecast,10561.0,International,Unknown,enquiries
263,2020-09-01,,Forecast,9067.0,International,Unknown,enquiries
264,2021-09-01,,Forecast,10560.0,International,Unknown,enquiries
265,2022-09-01,,Forecast,9067.0,International,Unknown,enquiries
266,2017-09-01,,Historical,,International,Unknown,applications
267,2018-09-01,,Historical,,International,Unknown,applications
268,2019-09-01,,Historical,,International,Unknown,applications
269,2019-09-01,,Forecast,,International,Unknown,applications
270,2020-09-01,,Forecast,0.0,International,Unknown,applications
271,2021-09-01,,Forecast,0.0,International,Unknown,applications
272,2022-09-01,,Forecast,0.0,International,Unknown,applications
273,2017-09-01,,Historical,,International,Unknown,enrolments
274,2018-09-01,,Historical,,International,Unknown,enrolments
275,2019-09-01,,Historical,,International,Unknown,enrolments
276,2019-09-01,,Forecast,,International,Unknown,enrolments
277,2020-09-01,,Forecast,0.0,International,Unknown,enrolments
278,2021-09-01,,Forecast,0.0,International,Unknown,enrolments
279,2022-09-01,,Forecast,0.0,International,Unknown,enrolments
280,2017-09-01,40456.0,Historical,,UK,MSc Economics,web_traffic
281,2018-09-01,32561.0,Historical,,UK,MSc Economics,web_traffic
282,2019-09-01,32677.0,Historical,,UK,MSc Economics,web_traffic
283,2019-09-01,,Forecast,32677.0,UK,MSc Economics,web_traffic
284,2020-09-01,,Forecast,32757.0,UK,MSc Economics,web_traffic
285,2021-09-01,,Forecast,32755.0,UK,MSc Economics,web_traffic
286,2022-09-01,,Forecast,32755.0,UK,MSc Economics,web_traffic
287,2017-09-01,1002.0,Historical,,UK,MSc Economics,enquiries
288,2018-09-01,811.0,Historical,,UK,MSc Economics,enquiries
289,2019-09-01,851.0,Historical,,UK,MSc Economics,enquiries
290,2019-09-01,,Forecast,851.0,UK,MSc Economics,enquiries
291,2020-09-01,,Forecast,885.0,UK,MSc Economics,enquiries
292,2021-09-01,,Forecast,883.0,UK,MSc Economics,enquiries
293,2022-09-01,,Forecast,883.0,UK,MSc Economics,enquiries
294,2017-09-01,487.0,Historical,,UK,MSc Economics,applications
295,2018-09-01,451.0,Historical,,UK,MSc Economics,applications
296,2019-09-01,458.0,Historical,,UK,MSc Economics,applications
297,2019-09-01,,Forecast,458.0,UK,MSc Economics,applications
298,2020-09-01,,Forecast,464.0,UK,MSc Economics,applications
299,2021-09-01,,Forecast,465.0,UK,MSc Economics,applications
300,2022-09-01,,Forecast,466.0,UK,MSc Economics,applications
301,2017-09-01,243.0,Historical,,UK,MSc Economics,enrolments
302,2018-09-01,202.0,Historical,,UK,MSc Economics,enrolments
303,2019-09-01,201.0,Historical,,UK,MSc Economics,enrolments
304,2019-09-01,,Forecast,201.0,UK,MSc Economics,enrolments
305,2020-09-01,,Forecast,202.0,UK,MSc Economics,enrolments
306,2021-09-01,,Forecast,201.0,UK,MSc Economics,enrolments
307,2022-09-01,,Forecast,202.0,UK,MSc Economics,enrolments
308,2017-09-01,6544.0,Historical,,International,MSc Economics,web_traffic
309,2018-09-01,6346.0,Historical,,International,MSc Economics,web_traffic
310,2019-09-01,6365.0,Historical,,International,MSc Economics,web_traffic
311,2019-09-01,,Forecast,6365.0,International,MSc Economics,web_traffic
312,2020-09-01,,Forecast,6404.0,International,MSc Economics,web_traffic
313,2021-09-01,,Forecast,6393.0,International,MSc Economics,web_traffic
314,2022-09-01,,Forecast,6396.0,International,MSc Economics,web_traffic
315,2017-09-01,420.0,Historical,,International,MSc Economics,enquiries
316,2018-09-01,426.0,Historical,,International,MSc Economics,enquiries
317,2019-09-01,479.0,Historical,,International,MSc Economics,enquiries
318,2019-09-01,,Forecast,479.0,International,MSc Economics,enquiries
319,2020-09-01,,Forecast,491.0,International,MSc Economics,enquiries
320,2021-09-01,,Forecast,484.0,International,MSc Economics,enquiries
321,2022-09-01,,Forecast,488.0,International,MSc Economics,enquiries
322,2017-09-01,36.0,Historical,,International,MSc Economics,applications
323,2018-09-01,39.0,Historical,,International,MSc Economics,applications
324,2019-09-01,41.0,Historical,,International,MSc Economics,applications
325,2019-09-01,,Forecast,41.0,International,MSc Economics,applications
326,2020-09-01,,Forecast,42.0,International,MSc Economics,applications
327,2021-09-01,,Forecast,43.0,International,MSc Economics,applications
328,2022-09-01,,Forecast,44.0,International,MSc Economics,applications
329,2017-09-01,22.0,Historical,,International,MSc Economics,enrolments
330,2018-09-01,33.0,Historical,,International,MSc Economics,enrolments
331,2019-09-01,47.0,Historical,,International,MSc Economics,enrolments
332,2019-09-01,,Forecast,47.0,International,MSc Economics,enrolments
333,2020-09-01,,Forecast,61.0,International,MSc Economics,enrolments
334,2021-09-01,,Forecast,75.0,International,MSc Economics,enrolments
335,2022-09-01,,Forecast,88.0,International,MSc Economics,enrolments
336,2017-09-01,126099.0,Historical,,UK,MBA,web_traffic
337,2018-09-01,107382.0,Historical,,UK,MBA,web_traffic
338,2019-09-01,121874.0,Historical,,UK,MBA,web_traffic
339,2019-09-01,,Forecast,121874.0,UK,MBA,web_traffic
340,2020-09-01,,Forecast,111532.0,UK,MBA,web_traffic
341,2021-09-01,,Forecast,119154.0,UK,MBA,web_traffic
342,2022-09-01,,Forecast,113537.0,UK,MBA,web_traffic
343,2017-09-01,5345.0,Historical,,UK,MBA,enquiries
344,2018-09-01,4762.0,Historical,,UK,MBA,enquiries
345,2019-09-01,5345.0,Historical,,UK,MBA,enquiries
346,2019-09-01,,Forecast,5345.0,UK,MBA,enquiries
347,2020-09-01,,Forecast,4762.0,UK,MBA,enquiries
348,2021-09-01,,Forecast,5344.0,UK,MBA,enquiries
349,2022-09-01,,Forecast,4762.0,UK,MBA,enquiries
350,2017-09-01,945.0,Historical,,UK,MBA,applications
351,2018-09-01,777.0,Historical,,UK,MBA,applications
352,2019-09-01,1051.0,Historical,,UK,MBA,applications
353,2019-09-01,,Forecast,1051.0,UK,MBA,applications
354,2020-09-01,,Forecast,840.0,UK,MBA,applications
355,2021-09-01,,Forecast,1050.0,UK,MBA,applications
356,2022-09-01,,Forecast,840.0,UK,MBA,applications
357,2017-09-01,537.0,Historical,,UK,MBA,enrolments
358,2018-09-01,432.0,Historical,,UK,MBA,enrolments
359,2019-09-01,499.0,Historical,,UK,MBA,enrolments
360,2019-09-01,,Forecast,499.0,UK,MBA,enrolments
361,2020-09-01,,Forecast,458.0,UK,MBA,enrolments
362,2021-09-01,,Forecast,491.0,UK,MBA,enrolments
363,2022-09-01,,Forecast,464.0,UK,MBA,enrolments
364,2017-09-01,50287.0,Historical,,International,MBA,web_traffic
365,2018-09-01,44624.0,Historical,,International,MBA,web_traffic
366,2019-09-01,47823.0,Historical,,International,MBA,web_traffic
367,2019-09-01,,Forecast,47823.0,International,MBA,web_traffic
368,2020-09-01,,Forecast,46003.0,International,MBA,web_traffic
369,2021-09-01,,Forecast,47043.0,International,MBA,web_traffic
370,2022-09-01,,Forecast,46449.0,International,MBA,web_traffic
371,2017-09-01,735.0,Historical,,International,MBA,enquiries
372,2018-09-01,626.0,Historical,,International,MBA,enquiries
373,2019-09-01,656.0,Historical,,International,MBA,enquiries
374,2019-09-01,,Forecast,656.0,International,MBA,enquiries
375,2020-09-01,,Forecast,671.0,International,MBA,enquiries
376,2021-09-01,,Forecast,669.0,International,MBA,enquiries
377,2022-09-01,,Forecast,669.0,International,MBA,enquiries
378,2017-09-01,264.0,Historical,,International,MBA,applications
379,2018-09-01,225.0,Historical,,International,MBA,applications
380,2019-09-01,261.0,Historical,,International,MBA,applications
381,2019-09-01,,Forecast,261.0,International,MBA,applications
382,2020-09-01,,Forecast,226.0,International,MBA,applications
383,2021-09-01,,Forecast,260.0,International,MBA,applications
384,2022-09-01,,Forecast,226.0,International,MBA,applications
385,2017-09-01,109.0,Historical,,International,MBA,enrolments
386,2018-09-01,80.0,Historical,,International,MBA,enrolments
387,2019-09-01,138.0,Historical,,International,MBA,enrolments
388,2019-09-01,,Forecast,138.0,International,MBA,enrolments
389,2020-09-01,,Forecast,99.0,International,MBA,enrolments
390,2021-09-01,,Forecast,137.0,International,MBA,enrolments
391,2022-09-01,,Forecast,99.0,International,MBA,enrolments
